report_date,region,class,type,volume,pct_chg
2017-11-20,Southeast (SE),Small,,3.1,-0.9%
2017-11-20,Southeast (SE),Total,,247.9,-9.4%
2017-11-20,Southeast (SE),Ungraded,,50.5,1.7%
2017-11-20,Southwest (SW),,Cage-Free,8.6,87.4%
2017-11-20,Southwest (SW),,Organic,2.0,-56.9%
2017-11-20,Southwest (SW),,Specialty,1.2,-11.4%
2017-11-20,Southwest (SW),Extra Large,,24.5,-11.0%
2017-11-20,Southwest (SW),Jumbo,,5.4,-24.6%
2017-11-20,Southwest (SW),Large,,82.2,-8.6%
2017-11-20,Southwest (SW),Medium,,23.4,-1.1%
2017-11-20,Southwest (SW),Misc,,3.6,-15.9%
2017-11-20,Southwest (SW),Small,,1.2,-34.9%
2017-11-20,Southwest (SW),Total,,145.9,-10.2%
2017-11-20,Southwest (SW),Ungraded,,5.7,-31.1%
2017-11-27,,Breaking Stock,,285.9,6.6%
2017-11-27,6-Area,,Cage-Free,47.0,-4.4%
2017-11-27,6-Area,,Organic,58.0,-1.3%
2017-11-27,6-Area,,Specialty,33.6,14.5%
2017-11-27,6-Area,Extra Large,,131.7,-2.3%
2017-11-27,6-Area,Jumbo,,60.5,7.1%
2017-11-27,6-Area,Large,,542.0,-1.0%
2017-11-27,6-Area,Medium,,134.2,4.3%
2017-11-27,6-Area,Misc,,71.3,15.5%
2017-11-27,6-Area,Small,,23.4,39.8%
2017-11-27,6-Area,Total,,1136.8,2.1%
2017-11-27,6-Area,Ungraded,,173.8,3.7%
2017-11-27,Midwest (MW),,Cage-Free,19.5,-11.7%
2017-11-27,Midwest (MW),,Organic,32.3,-9.9%
2017-11-27,Midwest (MW),,Specialty,1.9,828.0%
2017-11-27,Midwest (MW),Extra Large,,26.8,-9.1%
2017-11-27,Midwest (MW),Jumbo,,17.0,-7.7%
2017-11-27,Midwest (MW),Large,,91.9,-7.5%
2017-11-27,Midwest (MW),Medium,,47.0,15.5%
2017-11-27,Midwest (MW),Misc,,36.1,29.7%
2017-11-27,Midwest (MW),Small,,7.4,5.9%
2017-11-27,Midwest (MW),Total,,309.4,1.7%
2017-11-27,Midwest (MW),Ungraded,,83.3,2.2%
2017-11-27,Northeast (NE),,Cage-Free,1.4,-0.3%
2017-11-27,Northeast (NE),,Organic,5.6,26.6%
2017-11-27,Northeast (NE),,Specialty,3.6,-6.8%
2017-11-27,Northeast (NE),Extra Large,,24.3,19.8%
2017-11-27,Northeast (NE),Jumbo,,7.6,20.6%
2017-11-27,Northeast (NE),Large,,59.0,15.2%
2017-11-27,Northeast (NE),Medium,,11.0,-12.3%
2017-11-27,Northeast (NE),Misc,,1.5,-25.0%
2017-11-27,Northeast (NE),Small,,4.1,33.2%
2017-11-27,Northeast (NE),Total,,116.8,16.5%
2017-11-27,Northeast (NE),Ungraded,,9.3,89.7%
2017-11-27,Northwest (NW),,Cage-Free,1.1,
2017-11-27,Northwest (NW),,Organic,0.8,94.5%
2017-11-27,Northwest (NW),,Specialty,1.9,-42.6%
2017-11-27,Northwest (NW),Extra Large,,5.6,-41.9%
2017-11-27,Northwest (NW),Jumbo,,5.5,-15.1%
2017-11-27,Northwest (NW),Large,,63.1,1.1%
2017-11-27,Northwest (NW),Medium,,10.4,-7.5%
2017-11-27,Northwest (NW),Misc,,1.2,12.7%
2017-11-27,Northwest (NW),Small,,3.2,"3,096.0%"
2017-11-27,Northwest (NW),Total,,103.0,-3.1%
2017-11-27,Northwest (NW),Ungraded,,13.9,-8.6%
2017-11-27,South Central (SC),,Cage-Free,7.4,-6.9%
2017-11-27,South Central (SC),,Organic,5.3,-15.1%
2017-11-27,South Central (SC),,Specialty,5.3,-0.2%
2017-11-27,South Central (SC),Extra Large,,23.3,13.8%
2017-11-27,South Central (SC),Jumbo,,9.6,1.9%
2017-11-27,South Central (SC),Large,,123.5,-2.5%
2017-11-27,South Central (SC),Medium,,23.8,4.3%
2017-11-27,South Central (SC),Misc,,17.7,4.1%
2017-11-27,South Central (SC),Small,,3.3,43.6%
2017-11-27,South Central (SC),Total,,217.0,4.0%
2017-11-27,South Central (SC),Ungraded,,15.8,59.8%
2017-11-27,Southeast (SE),,Cage-Free,10.4,14.2%
2017-11-27,Southeast (SE),,Organic,7.2,-28.0%
2017-11-27,Southeast (SE),,Specialty,19.0,24.1%
2017-11-27,Southeast (SE),Extra Large,,27.6,-9.2%
2017-11-27,Southeast (SE),Jumbo,,11.7,11.6%
2017-11-27,Southeast (SE),Large,,116.3,-7.2%
2017-11-27,Southeast (SE),Medium,,20.0,11.6%
2017-11-27,Southeast (SE),Misc,,10.5,3.2%
2017-11-27,Southeast (SE),Small,,2.6,-14.7%
2017-11-27,Southeast (SE),Total,,231.8,-6.5%
2017-11-27,Southeast (SE),Ungraded,,43.0,-14.9%
2017-11-27,Southwest (SW),,Cage-Free,7.2,-16.4%
2017-11-27,Southwest (SW),,Organic,7.0,247.7%
