month,flock_type,detections,commercial_birds
2025-11,Commercial Turkey Breeder Hens,5,0
2025-11,Commercial Turkey Meat Bird,9,0
2025-11,WOAH Non-Poultry,28,0
2025-11,WOAH Poultry,26,0
2025-12,Commercial Broiler Breeder,1,0
2025-12,Commercial Broiler Breeder Pullets,1,0
2025-12,Commercial Broiler Production,2,0
2025-12,Commercial Duck Breeder,1,0
2025-12,Commercial Duck Meat Bird,13,0
2025-12,Commercial Raised for Release Upland Game Bird,1,0
2025-12,Commercial Table Egg Layer,1,0
2025-12,Commercial Turkey Breeder Replacement Hens,2,0
2025-12,Commercial Turkey Meat Bird,4,0
2025-12,Live Bird Market,3,0
2025-12,WOAH Non-Poultry,37,0
2025-12,WOAH Poultry,16,0
2026-01,Commercial Broiler Breeder,2,0
2026-01,Commercial Broiler Production,2,0
2026-01,Commercial Duck Breeder,1,0
2026-01,Commercial Duck Meat Bird,1,0
2026-01,Commercial Raised for Release Upland Game Bird,3,0
2026-01,Commercial Table Egg Layer,2,0
2026-01,Commercial Table Egg Pullets,1,0
2026-01,Commercial Turkey Breeder Hens,2,0
2026-01,Commercial Turkey Meat Bird,4,0
2026-01,Live Bird Market,4,0
2026-01,WOAH Non-Poultry,29,0
2026-01,WOAH Poultry,11,0
2026-02,Commercial Broiler Breeder,1,0
2026-02,Commercial Broiler Production,8,0
2026-02,Commercial Duck Breeder,1,0
2026-02,Commercial Duck Meat Bird,4,0
2026-02,Commercial Raised for Release Upland Game Bird,1,0
2026-02,Commercial Table Egg Breeder,1,0
2026-02,Commercial Table Egg Layer,7,0
2026-02,Commercial Table Egg Pullets,1,0
2026-02,Commercial Turkey Breeder Hens,1,0
2026-02,Commercial Turkey Meat Bird,9,0
2026-02,Live Bird Market,4,0
2026-02,WOAH Non-Poultry,16,0
2026-02,WOAH Poultry,9,0
2026-03,Commercial Broiler Production,2,0
2026-03,Commercial Duck Breeder,3,0
2026-03,Commercial Duck Meat Bird,24,0
2026-03,Commercial Table Egg Layer,3,0
2026-03,Commercial Table Egg Pullets,2,0
2026-03,Commercial Turkey Breeder Hens,1,0
2026-03,Commercial Turkey Meat Bird,6,0
2026-03,Live Bird Market,10,0
2026-03,WOAH Non-Poultry,14,0
2026-03,WOAH Poultry,10,0
2026-04,Commercial Broiler Production,1,0
2026-04,Commercial Duck Breeder,1,0
2026-04,Commercial Duck Meat Bird,1,0
2026-04,Commercial Table Egg Pullets,1,0
2026-04,Commercial Turkey Breeder Hens,1,0
2026-04,Commercial Turkey Meat Bird,3,0
2026-04,WOAH Non-Poultry,1,0
2026-04,WOAH Poultry,2,0
