release_date,week_ending_date,hatchability_pct,source,txt_url,pdf_url
2012-12-05,,85.0,seed,,
2012-12-12,,85.0,seed,,
2012-12-19,,85.0,seed,,
2012-12-27,,85.0,seed,,
2013-01-03,,85.0,seed,,
2013-01-09,,85.0,seed,,
2013-01-16,,85.0,seed,,
2013-01-23,,85.0,seed,,
2013-01-30,,84.0,seed,,
2013-02-06,,84.0,seed,,
2013-02-13,,84.0,seed,,
2013-02-20,,84.0,seed,,
2013-02-27,,84.0,seed,,
2013-03-06,,84.0,seed,,
2013-03-13,,84.0,seed,,
2013-03-20,,84.0,seed,,
2013-03-27,,84.0,seed,,
2013-04-03,,84.0,seed,,
2013-04-10,,84.0,seed,,
2013-04-17,,84.0,seed,,
2013-04-24,,84.0,seed,,
2013-05-01,,84.0,seed,,
2013-05-08,,84.0,seed,,
2013-05-15,,84.0,seed,,
2013-05-22,,84.0,seed,,
2013-05-30,,84.0,seed,,
2013-06-05,,84.0,seed,,
2013-06-12,,84.0,seed,,
2013-06-19,,84.0,seed,,
2013-06-26,,84.0,seed,,
2013-07-03,,84.0,seed,,
2013-07-10,,84.0,seed,,
2013-07-17,,84.0,seed,,
2013-07-24,,84.0,seed,,
2013-07-31,,84.0,seed,,
2013-08-07,,84.0,seed,,
2013-08-14,,84.0,seed,,
2013-08-21,,84.0,seed,,
2013-08-28,,84.0,seed,,
2013-09-04,,84.0,seed,,
2013-09-11,,84.0,seed,,
2013-09-18,,84.0,seed,,
2013-09-25,,84.0,seed,,
2013-10-23,,84.0,seed,,
2013-10-30,,84.0,seed,,
2013-11-06,,84.0,seed,,
2013-11-13,,84.0,seed,,
2013-11-20,,84.0,seed,,
2013-11-27,,84.0,seed,,
2013-12-04,,84.0,seed,,
2013-12-11,,83.0,seed,,
2013-12-18,,83.0,seed,,
2013-12-26,,83.0,seed,,
2014-01-02,,84.0,seed,,
2014-01-08,,83.0,seed,,
2014-01-15,,83.0,seed,,
2014-01-22,,83.0,seed,,
