report_date,class,period,volume
2019-05-20,Yield W/O Inedible,Previous Month Total,0.0
2019-05-20,Yield W/O Inedible,Prior Week,0.0
2019-05-20,Yield With Inedible,Previous Month Total,0.0
2019-05-20,Yield with Inedible,2018 Year to date,0.0
2019-05-20,Yield with Inedible,2019 Year to date,0.0
2019-05-20,Yield with Inedible,Current Week,0.0
2019-05-20,Yield with Inedible,Last Year,0.0
2019-05-20,Yield with Inedible,Prior Week,0.0
2019-05-27,Cases Broken,2018 Year to date,32655052.0
2019-05-27,Cases Broken,2019 Year to date,34379130.0
2019-05-27,Cases Broken,Current Week,1530855.0
2019-05-27,Cases Broken,LY % Change,0.0
2019-05-27,Cases Broken,Last Year,1504451.0
2019-05-27,Cases Broken,PW % Change,0.0
2019-05-27,Cases Broken,Previous Month Total,6197203.0
2019-05-27,Cases Broken,Prior Week,1615023.0
2019-05-27,Cases Broken,YTD % Change,0.0
2019-05-27,Dried,2018 Year to date,50923.0
2019-05-27,Dried,2019 Year to date,63121.0
2019-05-27,Dried,Current Week,3149.0
2019-05-27,Dried,LY % Change,0.0
2019-05-27,Dried,Last Year,2532.0
2019-05-27,Dried,PW % Change,0.0
2019-05-27,Dried,Previous Month Total,11427.0
2019-05-27,Dried,Prior Week,3438.0
2019-05-27,Dried,YTD % Change,0.0
2019-05-27,Inedible,2018 Year to date,104782.0
2019-05-27,Inedible,2019 Year to date,110396.0
2019-05-27,Inedible,Current Week,4887.0
2019-05-27,Inedible,LY % Change,0.0
2019-05-27,Inedible,Last Year,4454.0
2019-05-27,Inedible,PW % Change,0.0
2019-05-27,Inedible,Previous Month Total,19823.0
2019-05-27,Inedible,Prior Week,5396.0
2019-05-27,Inedible,YTD % Change,0.0
2019-05-27,Inline % of Total Cases Broken,2018 Year to date,0.0
2019-05-27,Inline % of Total Cases Broken,2019 Year to date,0.0
2019-05-27,Inline % of Total Cases Broken,Current Week,0.0
2019-05-27,Inline % of Total Cases Broken,Last Year,0.0
2019-05-27,Inline % of Total Cases Broken,Prior Week,0.0
2019-05-27,Inline % of Total Liquid Whole Egg,2018 Year to date,0.0
2019-05-27,Inline % of Total Liquid Whole Egg,2019 Year to date,0.0
2019-05-27,Inline % of Total Liquid Whole Egg,Current Week,0.0
2019-05-27,Inline % of Total Liquid Whole Egg,Last Year,0.0
2019-05-27,Inline % of Total Liquid Whole Egg,Prior Week,0.0
2019-05-27,Inline Cases Broken,% Change,0.0
2019-05-27,Inline Cases Broken,2018 Year to date,17553874.0
2019-05-27,Inline Cases Broken,2019 Year to date,18783472.0
2019-05-27,Inline Cases Broken,Current Week,873565.0
2019-05-27,Inline Cases Broken,Last Year,815377.0
2019-05-27,Inline Cases Broken,Prior Week,868166.0
2019-05-27,Inline Liquid Whole Egg,% Change,0.0
2019-05-27,Inline Liquid Whole Egg,2018 Year to date,422672.0
