year,reference_period,class,value,unit,agg_level,state_alpha
2010,DEC,ALL CLASSES,58000000.0,EGGS,STATE,OR
2010,DEC,TABLE,56000000.0,EGGS,STATE,OR
2010,DEC,ALL CLASSES,449000000.0,EGGS,STATE,OT
2010,DEC,TABLE,311000000.0,EGGS,STATE,OT
2010,DEC,ALL CLASSES,626000000.0,EGGS,STATE,PA
2010,DEC,TABLE,607000000.0,EGGS,STATE,PA
2010,DEC,ALL CLASSES,97000000.0,EGGS,STATE,SC
2010,DEC,TABLE,75000000.0,EGGS,STATE,SC
2010,DEC,ALL CLASSES,59000000.0,EGGS,STATE,SD
2010,DEC,TABLE,59000000.0,EGGS,STATE,SD
2010,DEC,ALL CLASSES,434000000.0,EGGS,STATE,TX
2010,DEC,TABLE,,EGGS,STATE,TX
2010,DEC,ALL CLASSES,80000000.0,EGGS,STATE,UT
2010,DEC,TABLE,80000000.0,EGGS,STATE,UT
2010,DEC,ALL CLASSES,62000000.0,EGGS,STATE,VA
2010,DEC,TABLE,30000000.0,EGGS,STATE,VA
2010,DEC,ALL CLASSES,157000000.0,EGGS,STATE,WA
2010,DEC,TABLE,,EGGS,STATE,WA
2010,DEC,ALL CLASSES,113000000.0,EGGS,STATE,WI
2010,DEC,TABLE,,EGGS,STATE,WI
2010,FEB,ALL CLASSES,6965000000.0,EGGS,NATIONAL,
2010,FEB,TABLE,5971000000.0,EGGS,NATIONAL,
2010,FEB,"HATCHING, BROILER TYPE",926000000.0,EGGS,NATIONAL,
2010,FEB,ALL CLASSES,160000000.0,EGGS,STATE,AL
2010,FEB,TABLE,24000000.0,EGGS,STATE,AL
2010,FEB,ALL CLASSES,225000000.0,EGGS,STATE,AR
2010,FEB,TABLE,72000000.0,EGGS,STATE,AR
2010,FEB,ALL CLASSES,401000000.0,EGGS,STATE,CA
2010,FEB,TABLE,,EGGS,STATE,CA
2010,FEB,ALL CLASSES,80000000.0,EGGS,STATE,CO
2010,FEB,TABLE,,EGGS,STATE,CO
2010,FEB,ALL CLASSES,53000000.0,EGGS,STATE,CT
2010,FEB,TABLE,,EGGS,STATE,CT
2010,FEB,ALL CLASSES,201000000.0,EGGS,STATE,FL
2010,FEB,TABLE,197000000.0,EGGS,STATE,FL
2010,FEB,ALL CLASSES,353000000.0,EGGS,STATE,GA
2010,FEB,TABLE,199000000.0,EGGS,STATE,GA
2010,FEB,ALL CLASSES,5000000.0,EGGS,STATE,HI
2010,FEB,TABLE,5000000.0,EGGS,STATE,HI
2010,FEB,ALL CLASSES,1108000000.0,EGGS,STATE,IA
2010,FEB,TABLE,1095000000.0,EGGS,STATE,IA
2010,FEB,ALL CLASSES,98000000.0,EGGS,STATE,IL
2010,FEB,TABLE,95000000.0,EGGS,STATE,IL
2010,FEB,ALL CLASSES,498000000.0,EGGS,STATE,IN
2010,FEB,TABLE,485000000.0,EGGS,STATE,IN
2010,FEB,ALL CLASSES,49000000.0,EGGS,STATE,MD
2010,FEB,TABLE,48000000.0,EGGS,STATE,MD
2010,FEB,ALL CLASSES,79000000.0,EGGS,STATE,ME
2010,FEB,TABLE,,EGGS,STATE,ME
2010,FEB,ALL CLASSES,233000000.0,EGGS,STATE,MI
2010,FEB,TABLE,,EGGS,STATE,MI
2010,FEB,ALL CLASSES,220000000.0,EGGS,STATE,MN
