report_date,item,low_price,high_price,wtd_avg_price,volume,wtd_avg_price_prev,volume_prev,price_change,price_unit,volume_unit
2023-07-01,Legs - Bone-in,48.5,75.0,54.83,740,,,,Cents Per Lb,Pounds
2023-07-01,Livers,61.0,91.0,63.01,365,62.26,349,0.75,Cents Per Lb,Pounds
2023-07-01,Mechanically Separated,22.0,32.0,28.62,1917,29.55,1971,-0.93,Cents Per Lb,Pounds
2023-07-01,RTC Broiler/Fryer,82.0,158.0,118.75,11528,133.22,12343,-14.47,Cents Per Lb,Pounds
2023-07-01,Tenderloins,170.0,240.0,194.17,3794,195.89,3922,-1.72,Cents Per Lb,Pounds
2023-07-01,Thighs - B/S,112.0,157.0,138.58,2598,135.51,2910,3.07,Cents Per Lb,Pounds
2023-07-01,Thighs - Bone-in,30.0,68.0,61.98,142,62.15,212,-0.17,Cents Per Lb,Pounds
2023-07-01,WOG,84.0,149.0,123.72,10222,140.26,10850,-16.54,Cents Per Lb,Pounds
2023-07-01,Wings - Cut,91.0,125.0,108.89,261,113.82,944,-4.93,Cents Per Lb,Pounds
2023-07-01,Wings - Whole,71.0,134.0,101.44,2974,88.68,3182,12.76,Cents Per Lb,Pounds
2023-08-01,ALL Items,70.0,150.0,111.24,55972,118.48,40830,-7.24,Cents Per Lb,Pounds
2023-08-01,All Items,80.0,150.0,120.64,16230,124.66,11102,-4.02,Cents Per Lb,Pounds
2023-08-01,Backs and Necks Stripped,11.0,14.0,12.29,6840,12.59,5110,-0.3,Cents Per Lb,Pounds
2023-08-01,Breast - B/S,148.0,149.0,148.5,216,109.4,1724,39.1,Cents Per Lb,Pounds
2023-08-01,Breast - Line Run,116.0,119.0,117.92,856,117.99,642,-0.07,Cents Per Lb,Pounds
2023-08-01,Breast With Ribs,123.0,162.0,141.87,545,142.12,467,-0.25,Cents Per Lb,Pounds
2023-08-01,Drumsticks,35.0,45.0,42.12,3374,35.6,5440,6.52,Cents Per Lb,Pounds
2023-08-01,Frames,3.0,8.0,5.59,8540,4.48,6920,1.11,Cents Per Lb,Pounds
2023-08-01,Gizzards and Hearts,66.0,76.0,74.34,421,74.66,296,-0.32,Cents Per Lb,Pounds
2023-08-01,Leg Quarters - 4/10,44.0,46.0,44.19,291,,,,Cents Per Lb,Pounds
2023-08-01,Leg quarters - Bulk,28.0,42.0,39.13,9516,39.33,15874,-0.2,Cents Per Lb,Pounds
2023-08-01,Legs - Bone-in,48.0,53.0,51.2,810,54.83,740,-3.63,Cents Per Lb,Pounds
2023-08-01,Livers,61.0,104.0,62.96,476,63.01,365,-0.05,Cents Per Lb,Pounds
2023-08-01,Mechanically Separated,27.0,35.0,29.97,1890,28.62,1917,1.35,Cents Per Lb,Pounds
2023-08-01,RTC Broiler/Fryer,80.0,150.0,113.41,15085,118.75,11528,-5.34,Cents Per Lb,Pounds
2023-08-01,Tenderloins,133.0,265.0,208.3,5169,194.17,3794,14.13,Cents Per Lb,Pounds
2023-08-01,Thighs - B/S,133.0,162.0,143.36,3331,138.58,2598,4.78,Cents Per Lb,Pounds
2023-08-01,Thighs - Bone-in,45.0,62.0,61.48,209,61.98,142,-0.5,Cents Per Lb,Pounds
2023-08-01,WOG,80.0,146.0,120.27,14940,123.72,10222,-3.45,Cents Per Lb,Pounds
2023-08-01,Wings - Cut,106.0,155.0,136.85,109,108.89,261,27.96,Cents Per Lb,Pounds
2023-08-01,Wings - Whole,92.0,172.0,127.63,4002,101.44,2974,26.19,Cents Per Lb,Pounds
2023-09-01,ALL Items,80.0,150.0,116.02,46095,111.24,55972,4.78,Cents Per Lb,Pounds
2023-09-01,All Items,89.0,150.0,126.32,11825,120.64,16230,5.68,Cents Per Lb,Pounds
2023-09-01,Backs and Necks Stripped,11.0,14.0,12.14,5993,12.29,6840,-0.15,Cents Per Lb,Pounds
2023-09-01,Breast - B/S,110.0,148.0,134.57,189,148.5,216,-13.93,Cents Per Lb,Pounds
2023-09-01,Breast - Line Run,113.0,119.0,116.31,642,117.92,856,-1.61,Cents Per Lb,Pounds
2023-09-01,Breast With Ribs,120.0,162.0,141.87,395,141.87,545,0.0,Cents Per Lb,Pounds
2023-09-01,Drumsticks,38.0,40.0,39.24,1836,42.12,3374,-2.88,Cents Per Lb,Pounds
2023-09-01,Frames,2.0,8.0,4.33,7200,5.59,8540,-1.26,Cents Per Lb,Pounds
2023-09-01,Gizzards and Hearts,65.0,79.0,74.67,303,74.34,421,0.33,Cents Per Lb,Pounds
