release_date,hatchability_pct
2016-10-12,84
2016-10-19,84
2016-10-26,84
2016-11-02,84
2016-11-09,83
2016-11-16,84
2016-11-23,84
2016-11-30,84
2016-12-07,84
2016-12-14,84
2016-12-21,84
2016-12-28,84
2017-01-04,83
2017-01-11,83
2017-01-18,83
2017-01-25,83
2017-02-01,83
2017-02-08,83
2017-02-15,83
2017-02-22,83
2017-03-01,83
2017-03-08,83
2017-03-15,83
2017-03-22,83
2017-03-29,83
2017-04-05,83
2017-04-12,83
2017-04-19,83
2017-04-26,83
2017-05-03,83
2017-05-10,83
2017-05-17,83
2017-05-24,83
2017-06-01,83
2017-06-07,83
2017-06-14,83
2017-06-21,83
2017-06-28,83
2017-07-06,83
2017-07-12,83
2017-07-19,83
2017-07-26,83
2017-08-02,83
2017-08-09,83
2017-08-16,83
2017-08-23,83
2017-08-30,83
2017-09-07,83
2017-09-13,83
2017-09-20,83
2017-09-27,83
2017-10-04,83
2017-10-11,83
2017-10-18,83
2017-10-25,83
2017-11-01,83
2017-11-08,83
2017-11-15,83
2017-11-22,83
2017-11-29,83
2017-12-06,82
2017-12-13,83
2017-12-20,83
2017-12-28,82
2018-01-04,82
2018-01-10,82
2018-01-17,82
2018-01-24,82
2018-01-31,82
2018-02-07,82
2018-02-14,81
2018-02-21,82
2018-02-28,82
2018-03-07,82
2018-03-14,82
2018-03-21,82
2018-03-28,82
2018-04-04,82
2018-04-11,82
2018-04-18,82
2018-04-25,82
2018-05-02,82
2018-05-09,81
2018-05-16,82
2018-05-23,82
2018-05-31,82
2018-06-06,82
2018-06-13,83
2018-06-20,83
2018-06-27,83
2018-07-05,83
2018-07-11,83
2018-07-18,83
2018-07-25,83
2018-08-01,83
2018-08-08,83
2018-08-15,83
2018-08-22,83
2018-08-29,83
2018-09-06,83
2018-09-12,83
2018-09-19,82.8
2018-09-26,83.1
2018-10-03,82.6
2018-10-10,82.5
2018-10-17,82.5
2018-10-24,82.7
2018-10-31,82.6
2018-11-07,82.6
2018-11-14,82.6
2018-11-21,82.6
2018-11-28,82.2
2018-12-06,82.3
2018-12-12,81.9
2018-12-19,82.1
2019-02-13,82.1
2019-02-20,81.6
2019-02-27,81.8
2019-03-06,82
2019-03-13,82.2
2019-03-20,81.4
2019-03-27,81.2
2019-04-03,81.6
2019-04-10,82.3
2019-04-17,82.2
2019-04-24,82.1
2019-05-01,82.4
2019-05-08,82.5
2019-05-15,82.5
2019-05-22,82.6
2019-05-29,82.6
2019-06-05,82.9
2019-06-12,82.9
2019-06-19,82.9
2019-06-26,82.8
2019-07-03,82.8
2019-07-10,82.9
2019-07-17,82.6
2019-07-24,82.8
2019-07-31,82.9
2019-08-07,82.4
2019-08-14,82.7
2019-08-21,82.8
2019-08-28,82.8
2019-09-04,82.7
2019-09-11,82.7
2019-09-18,82.6
2019-09-25,82.8
2019-10-02,82.9
2019-10-09,82.6
2019-10-16,82.3
2019-10-23,82.5
2019-10-30,82.8
2019-11-06,82.6
2019-11-13,82.2
2019-11-20,82.4
2019-11-27,81.9
2019-12-04,82.1
2019-12-11,81.8
2019-12-18,81.7
2019-12-27,81.3
2020-01-02,81.9
2020-01-08,81.8
2020-01-15,81.6
2020-01-22,81.9
2020-01-29,81.5
2020-02-05,81.8
2020-02-12,81.8
2020-02-19,81.7
2020-02-26,81.2
2020-03-04,81.3
2020-03-11,81.5
2020-03-18,81.3
2020-03-25,81.2
2020-04-01,81.3
2020-04-08,80.9
2020-04-15,77.7
2020-04-22,77.3
2020-04-29,78.3
2020-05-06,78.8
2020-05-13,81.6
2020-05-20,80.2
2020-05-27,82.3
2020-06-03,82.2
2020-06-10,82.3
2020-06-17,82.3
2020-06-24,82.1
2020-07-01,82.3
2020-07-08,82.6
2020-07-15,82.5
2020-07-22,82.8
2020-07-29,82.6
2020-08-05,82.4
2020-08-12,82.3
2020-08-19,82.2
2020-08-26,82.2
2020-09-02,82.5
2020-09-09,82.6
2020-09-16,82.5
2020-09-23,82.4
2020-09-30,82.4
2020-10-07,82.6
2020-10-14,82.3
2020-10-21,82.2
2020-10-28,81.9
2020-11-04,81.9
2020-11-12,81.9
2020-11-18,82.2
2020-11-25,82.1
2020-12-02,82.3
2020-12-09,82.1
2020-12-16,81.8
2020-12-23,81.9
2020-12-30,81.7
2021-01-06,81.5
2021-01-13,81
2021-01-21,81.2
2021-01-27,81
2021-02-03,80.9
2021-02-10,81
2021-02-17,80.9
2021-02-24,80.2
2021-03-03,80.6
2021-03-10,80.7
2021-03-17,80.4
2021-03-24,80.9
2021-03-31,79.9
2021-04-07,80.1
2021-04-14,80.3
2021-04-21,80.1
2021-04-28,80.4
2021-05-05,79.7
2021-05-12,80.4
2021-05-19,80.3
2021-05-26,80.2
2021-06-02,79.9
2021-06-09,79.8
2021-06-16,80
2021-06-23,80
2021-06-30,80.2
2021-07-07,79.9
2021-07-14,79.8
2021-07-21,80.1
2021-07-28,80.1
2021-08-04,79.8
2021-08-11,79.2
2021-08-18,79.4
2021-08-25,79.6
2021-09-01,79.5
2021-09-08,79.5
2021-09-15,79.3
2021-09-22,79.6
2021-09-29,78.9
2021-10-06,79.6
2021-10-13,79.6
2021-10-20,79.2
2021-10-27,79.2
2021-11-03,79
2021-11-10,79.4
2021-11-17,79.7
2021-11-24,79.3
2021-12-01,79.3
2021-12-08,79.5
2021-12-15,80.1
2021-12-22,79.1
2021-12-29,79
2022-01-05,79.1
2022-01-12,79.6
2022-01-19,79.7
2022-01-26,79.5
2022-02-02,80
2022-02-09,79.9
2022-02-16,79.5
2022-02-23,79.3
2022-03-02,79.4
2022-03-09,79.3
2022-03-16,79.5
2022-03-23,79.4
2022-03-30,79.5
2022-04-06,79.8
2022-04-13,79.8
2022-04-20,79.8
2022-04-27,79.7
2022-05-04,80.1
2022-05-11,80.1
2022-05-18,80.1
2022-05-25,80.1
2022-06-01,80.2
2022-06-08,80.3
2022-06-15,80.3
2022-06-22,80.2
2022-06-29,80.3
2022-07-06,80.1
2022-07-13,80.1
2022-07-20,80.3
2022-07-27,80.1
2022-08-03,80.2
2022-08-10,80.1
2022-08-17,80.3
2022-08-24,80.3
2022-08-31,80.4
2022-09-07,80.6
2022-09-14,80.6
2022-09-21,80.6
2022-09-28,80.3
2022-10-05,80.3
2022-10-12,80.2
2022-10-19,80.5
2022-10-26,80
2022-11-02,80.1
2022-11-09,80.1
2022-11-16,80.2
2022-11-23,80.1
2022-11-30,80.2
2022-12-07,80.3
2022-12-14,80.3
2022-12-21,80.3
2022-12-28,80
2023-01-04,79.9
2023-01-11,80.1
2023-01-18,80
2023-01-25,79.8
2023-02-01,79.7
2023-02-08,79.7
2023-02-15,79.9
2023-02-22,79.7
2023-03-01,79.4
2023-03-08,79.3
2023-03-15,79.2
2023-03-22,79.2
2023-03-29,79.3
2023-04-05,79.2
2023-04-12,79.4
2023-04-19,79.1
2023-04-26,79.1
2023-05-03,79.2
2023-05-10,79.4
2023-05-17,79.4
2023-05-24,79.3
2023-05-31,79.2
2023-06-07,79.4
2023-06-14,79.4
2023-06-21,79.5
2023-06-28,79.6
2023-07-06,79.5
2023-07-12,79.4
2023-07-19,79.2
